Howard Howard and Hodges,Orlando,FL,Orlando,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
Kreischer Miller,Philadelphia,PA,Philadelphia,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner
McGovern & Associates PC,Philadelphia,PA,Philadelphia,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Duffy Kruspodin LLP,Orange County,CA,Orange County,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
Paul Anderson CPA,San Diego,CA,San Diego,CPA Firm,5,$500K-$1M,Paul Anderson,Owner
Levin & Associates,Chicago,IL,Chicago,Family Law Firm,10,$1M-$3M,Managing Partner,Managing Partner
Shemesh Family Law,Dallas,TX,Dallas,Family Law Firm,6,$800K-$2M,Amber Shemesh,Founding Attorney
The Solomon Firm,Atlanta,GA,Atlanta,Family Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
Eittreim Martin Cutler LLC,Atlanta,GA,Atlanta,Family Law Firm,8,$800K-$2M,Managing Partner,Managing Partner
PMI New York City,New York,NY,New York City,Property Management Company,10,$1M-$3M,Principal,Managing Partner
My Property Man,New York,NY,New York City,Property Management Company,8,$500K-$2M,Owner,Owner
MD Squared Property Group,New York,NY,New York City,Property Management Company,12,$1M-$3M,Dawn Dickstein,Co-Founder
Building Equity Management,New York,NY,New York City,Property Management Company,10,$1M-$3M,Brian Reilly,Co-Owner
XL Real Property Management,New York,NY,New York City,Property Management Company,8,$500K-$2M,Dylan Pichulik,Owner
EBMG,New York,NY,New York City,Property Management Company,15,$1M-$3M,Principal,Managing Partner
Florida Property Management Strategies,Miami,FL,Miami,HOA Management Firm,10,$500K-$2M,Principal,Managing Partner
JMK Property Management,Miami,FL,Miami,Property Management Company,8,$500K-$2M,Principal,Owner
Novel Management,Miami,FL,Miami,Property Management Company,6,$500K-$1.5M,Principal,Owner
Trident Management,Miami,FL,Miami,Property Management Company,8,$500K-$2M,Jason,Owner
Exclusive Property Management Group,Miami,FL,Miami,Property Management Company,10,$500K-$2M,Principal,Managing Partner
TruHaven Homes,Chicago,IL,Chicago,HOA Management Firm,8,$500K-$1.5M,Owner,Owner
Forth Group,Chicago,IL,Chicago,HOA Management Firm,12,$1M-$3M,Principal,Managing Partner
