company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Connect Truck Center,Chicago,IL,Chicago,Fleet Maintenance Provider,15,$1M-$5M,Owner,Owner,,,www.connecttruckcenter.com
Forge Worldwide,Boston,MA,Boston,Branding/Creative Agency,15,$1M-$3M,Owner,Principal,(617) 262-4800,info@forgeworldwide.com,forgeworldwide.com
Olmec Systems,Northern NJ,NJ,Northern New Jersey,IT Managed Service Provider,10,$1M-$3M,Owner,Principal,(973) 586-6590,HelloNJ@olmec.com,olmec.com
Absolute Painting,Dallas,TX,Dallas,Painting Contractor,8,$500K-$2M,Owner,Owner,(972) 375-5100,,absoluteptg.com
Quality Auto Services,New York,NY,New York City,Auto Repair Shop,6,$500K-$1.5M,Owner,Owner,(212) 244-4420,,www.qualityautoservicesnyc.com
Health Care of South Florida,Miami,FL,Miami,Home Health Agency,15,$1M-$3M,Owner,Owner,(305) 871-3601,info@hcsfinc.com,healthcareofsouthflorida.com
Advantis Home Care,Miami,FL,Miami,Home Health Agency,10,$500K-$2M,Owner,Owner,(305) 504-5979,info@advantishomecare.net,www.advantishomecare.net
Avanti Home Health Services,Miami,FL,Miami,Home Health Agency,12,$1M-$3M,Owner,Owner,(305) 599-9430,,avantihomehealth.com
Elite Care At Home,Miami,FL,Miami,Home Health Agency,10,$500K-$2M,Owner,Owner,(305) 231-0555,intake@miamielitecare.com,miamielitecare.com
Lesly Home Health Care,Miami,FL,Miami,Home Health Agency,8,$500K-$1.5M,Owner,Owner,(305) 553-7727,,www.leslyhomehealthcare.com
Comforts of Home,Miami,FL,Miami,Senior Home Care,10,$500K-$2M,Owner,Owner,(754) 329-0388,,www.comforts-of-home.net
Home Care Providers of Texas,Dallas,TX,Dallas,Home Health Agency,15,$1M-$3M,Owner,Owner,(972) 735-0801,hcpfax@hcpoftexas.com,www.hcpoftexas.com
Advant Home Health Services,Dallas,TX,Dallas,Home Health Agency,12,$1M-$3M,Owner,Owner,(214) 553-9712,info@advanthomehealth.com,www.advanthomehealth.com
Newport Home Health,Dallas,TX,Dallas,Home Health Agency,10,$500K-$2M,Owner,Owner,(972) 602-3500,Support@Newporthomehealth.com,www.newporthomehealth.com
Direct Home Health Services,Dallas,TX,Dallas,Home Health Agency,8,$500K-$2M,Owner,Owner,(877) 551-6668,,www.directhomehealthservices.com
